Rank,Dealership group name,Phone number,Email,Address,Country,City
1,CarMax Inc.  ,(804) 747-0422, carmax.com,12800 Tuckahoe Creek Pkwy.,United States,Richmond
2,AutoNation Inc. ,(954) 769-7000, autonation.com,110 S.E. Sixth St.,United States,Fort Lauderdale
3,Penske Automotive Group Inc. ,(248)-648-2500 , penskeautomotive.com,2555 Telegraph Road,United States,Bloomfield Hills
4,Sonic Automotive Inc. ,(704) 566-2400, sonicautomotive.com,4401 Colwick Rd.,United States,Charlotte
5,Van Tuyl Group,(602) 230-1051, vantuylgroup.com,1550 E. Missouri. Ste. 300,United States,Phoenix
6,Group 1 Automotive Inc. ,(713) 647-5700, group1auto.com,800 Gessner. Ste. 500,United States,Houston
7,Asbury Automotive Group ,(770) 418-8200, asburyauto.com,2905 Premiere Pkwy.. Ste. 300,United States,Duluth
8,Hendrick Automotive Group,(704) 568-5550, hendrickauto.com,6000 Monroe Road,United States,Charlotte
9,Lithia Motors Inc. ,(541) 776-6868, lithia.com,360 E. Jackson,United States,Medford
10,Larry H. Miller Group of Cos.,(801) 563-4100, lhm.com,9350 S. 150 E.. Ste. 1000,United States,Sandy
11,Ken Garff Automotive Group,(801) 257-3400, kengarff.com,405 S. Main. Ste. 1200,United States,Salt Lake City
12,Chapman Automotive Group,(480) 970-0740, chapmanchoice.com,P.O. Box 12375,United States,Tempe
13,Staluppi Auto Group,(561) 844-7148, atlanticautogroup.net,133 U.S. Hwy. One,United States,North Palm Beach
14,Jim Koons Automotive Cos.,(703) 448-7000, koons.com,2000 Chain Bridge Road,United States,Vienna
15,Bob Rohrman Auto Group,(765) 448-1000, rohrman.com,701 Sagamore Pkwy. S.,United States,Lafayette
16,Serra Automotive Inc.,(810) 694-1720, serrausa.com,3118 E. Hill Road,United States,Grand Blanc
17,Herb Chambers Cos.,(617) 666-8333, herbchambers.com,259 McGrath Hwy.,United States,Somerville
18,Rick Case Automotive Group,(954) 377-7400, rickcase.com,875 N. State Road 7,United States,Fort Lauderdale
19,RLJ McLarty Landers Automotive Holdings LLC,(501) 374-4474, rljmclartylanders.com,425 West Capitol Ave.. Ste. 3600,United States,Little Rock
20,Swope Automotive Group,(502) 499-5000, swope.com,10 Swope Auto Center Drive,United States,Louisville
21,Suburban Collection,(248) 519-9700, suburbancollection.com,1795 Maplelawn,United States,Troy
22,West-Herr Automotive Group Inc.,(716) 649-7711, westherr.com,3448 McKinley Frwy.,United States,Blasdell
23,Green Family Stores Inc.,(217) 522-1222, greenfamilystores.comÿ,3801 Wabash Ave.,United States,Springfield
24,Ganley Auto Group,(216) 228-8485, ganleyauto.com,13215 Detroit Ave.,United States,Lakewood
25,Mac Haik Auto Group,(713) 932-5000, machaik.com,10333 Katy Fwy.,United States,Houston
26,Greenway Automotive,(407) 275-3200, greenway.com,9001 E Colonial Drive,United States,Orlando
27,Balise Motor Sales Co.,(413) 733-8604, baliseauto.com,122 Doty Circle,United States,West Springfield
28,Rosenthal Automotive Organization,(703) 553-4300, rosenthalauto.com,1100 S. Glebe Road,United States,Arlington
29,Walser Automotive Group,(952) 929-3535, walser.com,4401 American Blvd. W.ÿ,United States,Bloomington
30,Findlay Automotive Group,(702) 558-8888, findlayauto.com,310 N. Gibson Road,United States,Henderson
31,David Wilson Automotive Group,(714) 639-6750, wilsonautomotivegroup.net,1400 N. Tustin,United States,Orange
32,Performance Automotive Group,(402) 493-7800, performanceauto.com,17950 Burt St.,United States,Omaha
33,McCombs Automotive,(210) 821-6523, redmccombs.com,755 E. Mulberry. Ste. 600,United States,San Antonio
34,Joe Machens Dealerships,(573) 445-4411, machens.com,1911 W. Worley,United States,Columbia
35,Wilde Automotive Group,(262) 513-2770, wildeauto.com,1710 A Hwy. 164,United States,Waukesha
36,Keyes Automotive Group,(818) 907-4456, keyescars.com,5855 Van Nuys Blvd.,United States,Van Nuys
37,Bergstrom Automotive,(920) 725-4444, bergstromauto.com,One Neenah Center,United States,Neenah
38,Kenwood Dealer Group Inc.,(513) 683-5484, cincyautos.com,9500 Kings Automall Road,United States,Cincinnati
39,Darcars Automotive Group,301-622-0300, darcars.com,P.O. Box 9876,United States,Silver Spring
40,Sheehy Auto Stores,(703) 802-3480, sheehy.com,12701 Fair Lakes Circle. Ste. 250,United States,Fairfax
41,Braman Dealerships,(305) 576-1889, bramanmiami.com,2060 Biscayne Blvd.,United States,Miami
42,Summit Automotive Partners LLC,(303) 209-3965, summit-ap.com,10301 East Arapahoe Rd.. Ste. 200,United States,Centennial
43,Fitzgerald Auto Malls,(301) 881-4000, fitzmall.com,11411 Rockville Pike,United States,Kensington
44,Boucher Group. Inc.,(414) 427-4141, boucher.com,4141 S 108th St.,United States,Greenfield
45,Tuttle-Click Automotive Group,(949) 598-4800, tuttleclick.com,41 Auto Center Drive,United States,Irvine
46,Jeff Wyler Automotive Family Inc.,513-752-7450, wyler.com,829 Eastgate S. Drive,United States,Cincinnati
47,Phil Long Dealerships,(719) 575-7000, phillong.com,1212 A Motor City Drive,United States,Colorado Springs
48,Potamkin Automotive Group Inc.,(305) 774-7690, planetautomotive.com,6200 NW 167th St.,United States,Miami Lakes
49,Car Group. The,(562) 809-3705, thecargroup.com,20322 SW Acacia St.,United States,Newport Beach
50,White Family Cos.. Inc.,(937) 220-6394, whitecars.com,2 Riverplace. Ste. 444,United States,Dayton
51,Gillman Companies,(713) 776-7000, gillmanauto.com,10595 W. Sam Houston Pkwy. S.,United States,Houston
52,Russ Darrow Group,(262) 250-9600, russdarrow.com,W133 N8569 Executive Pkwy.,United States,Menomonee Falls
53,Fletcher Jones Automotive Group,(702) 739-9800, fletcherjones.com,7300 W. Sahara Ave.,United States,Las Vegas
54,Earnhardt Auto Centersÿ,(480) 893-0000, earnhardt.com,7300 W. Orchid Lane,United States,Chandler
55,Holman Automotive Group. Inc.,(856) 663-5200, holmanauto.com,244 E Kings Hwy.,United States,Maple Shade
56,Open Road Auto Group,(732) 650-1550, openroad.com,1140 U.S. Hwy. 22,United States,Bridgewater
57,Kuni Automotive,(360) 553-7362, kuniauto.com,203 S.E. Park Plaza. Ste. 290,United States,Vancouver
58,Fox Motors,(616) 774-4044, foxmotors.com,200 Ottawa Ave.. Ste. 800,United States,Grand Rapids
59,World Class Automotive Group,214-560-1602, Planetford.com,PO Box 1047,United States,Addison
60,Lou Fusz Automotive Network Inc.,(314) 994-1500, fusz.com,925 N. Lindbergh,United States,St. Louis
61,Ron Tonkin Family of Dealerships,(503) 255-4100, tonkin.com,122 N.E. 122nd Ave.,United States,Portland
62,Ourisman Automotive Group,301-423-4000, ourisman.com,4400 Branch Ave.,United States,Marlow Heights
63,Blaise Alexander Family Dealerships,(570) 546-4925, blaisealexander.com,10 Alexander Drive,United States,Muncy
64,Germain Automotive Partnership,(614) 793-1990, germain.com,3885 W. Dublin Granville Rd.,United States,Dublin
65,Bommarito Automotive Group,(636) 391-7200, bommarito.com,15736 Manchester Road,United States,Ellisville
66,Germain Motor Co.,(614) 416-3377, germain.com,4250 Morse Crossing,United States,Columbus
67,Pohanka Automotive Group,(301) 899-7800, pohanka.com,4608 St. Barnabas Road,United States,Marlow Heights
68,Hertrich Family of Auto Dealerships. The,(302) 629-5100, hertrichs.com,26905 Sussex Hwy.,United States,Seaford
69,Bob Moore Auto Group,(405) 605-2363, bobmoore.com,101 N. Robinson. Ste. 820,United States,Oklahoma City
70,Mike Shaw Automotive,(303) 639-6300, mikeshawauto.com,50 S. Steele St.. Ste. 820,United States,Denver
71,Scott-McRae Automotive Group,(904) 354-4000, smag.com,701 Riverside Park Place. Ste. 310,United States,Jacksonville
72,Fletcher Auto Group,(501) 352-3954, fletcherauto.com,808 Silverwood Trail,United States,North Little Rock
73,Prestige Management Services,(201) 265-7800, driveprestige.com,400 Sette Dr.,United States,Paramus
74,Anderson Automotive Group,(919) 787-0099, anderson-auto.com,9101 Glenwood Ave.,United States,Raleigh
75,Day Automotive Group,(724) 327-0900, dayauto.com,1600 Golden Mile Hwy.,United States,Monroeville
76,Gunn Automotive Group,(210) 472-2501, gunnauto.com,227 Broadway,United States,San Antonio
77,David Stanley Auto Group,(405) 794-0122, davidstanleyautogroup.com,614 SW 74th St.,United States,Oklahoma City
78,Performance Cos.,(210) 829-1800,,153 Treeline Park. Ste. 300,United States,San Antonio
79,Fred Haas Interests,(281) 297-7000, fredhaastoyota.com,20400 I-45 North,United States,Spring
80,Priority Auto Group,(757) 366-5000, PriorityAuto.com,1800 Greenbrier Pkwy.,United States,Chesapeake
81,Ancira Enterprises,(210) 681-4900, ancira.com,P.O. Box 29719,United States,San Antonio
82,Future Automotive Group,(916) 786-3673, futureautomotivegroup.com,650 Auto Mall Drive,United States,Roseville
83,Stevenson Automotive Group,(910) 455-1555, stevensonauto.com,2325 N. Marine Blvd.,United States,Jacksonville
84,Kenny Ross Automotive Group,(724) 863-9000, kennyross.com,11250 Route 30,United States,North Huntingdon
85,Servco Pacific Inc.,(808) 564-1300, servco.com,P.O. Box 2788,United States,Honolulu
86,Stanley Automotive Enterprises,(214) 219-4040, stanleyautogroup.com,3915 Lemmon Ave,United States,Dallas 
87,Bobby Rahal Automotive Group,(717) 691-5600, bobbyrahal.com,6715 Carlisle Pike,United States,Mechanicsburg
88,Piazza Auto Group,610-630-7911, piazzaautogroup.com,401 S. Schuylkill Ave.,United States,Norristown
89,Ferman Automotive Group,(813) 251-2765, ferman.com,1306 W. Kennedy Blvd.,United States,Tampa
90,Ed Morse Automotive Group,(800) 336-6773, edmorse.com,2850 S. Federal Hwy.,United States,Delray Beach
91,Morgan Auto Group,(813) 936-3125, morganautogroup.com,1101 E. Fletcher Ave.,United States,Tampa
92,Phil Smith Automotive Group,(954) 867-1234, philsmithauto.com,4250 N. Federal Hwy.,United States,Lighthouse Point
93,Serra Automotive Group,(205) 836-6775, serraautomotive.com,9709 Pkwy. E.. Ste. D,United States,Birmingham
94,Carl Gregory Enterprises Inc.,(706) 324-2380, carlgregorycars.com,3000 Northlake Pkwy.. Bldg. 300,United States,Columbus
95,Huffines Auto Dealerships,(972) 867-6000, huffines.net,4500 W. Plano Pkwy.,United States,Plano
96,Allen Samuels Enterprises Inc.,(254) 761-6800, allensamuels.com,301 Owen Lane,United States,Waco
97,Sullivan Automotive Group,(310) 829-1888, lacarguy.com,2440 Santa Monica Blvd.,United States,Santa Monica
98,Don Davis Auto Group,(817) 588-5213, dondavisautogroup.com,2350 E. Road to Six Flags,United States,Arlington
99,Carbone Automotive Group,(315) 724-4216, carbonecars.com,5700 Horatio St.,United States,Utica
100,Jim Hudson Automotive Group,(803) 799-1234, jimhudson.com,310 Greystone Blvd,United States,Columbia
101,Piercey Automotive Group,(714) 896-9777, pierceyautogroup.com,13600 Beach Blvd.,United States,Westminster
102,Grossinger Auto Groupÿ,(847) 674-9000, grossinger.com,6900 N McCormick Blvd.,United States,Lincolnwood
103,New Country Motor Car Group,(518) 584-7700, newcountry.com,358 Broadway,United States,Saratoga Springs
104,Galpin Motors Inc.,(818) 787-3800, galpin.com,15505 Roscoe Blvd.,United States,North Hills
105,Tameron Automotive Group,(205) 443-7700, tameron.com,1675 Montgomery Hwy.,United States,Birmingham
106,Holler Automotive Group,(407) 645-1331, hollerclassic.com,P.O. Box 1720,United States,Winter Park
107,Continental Motors Group,(708) 352-6000, continentalmotors.com,5901 S. Lagrange Road,United States,Countryside
108,Gettel Automotive,(941) 921-2655, getteltoyota.com,5959 E. SR 64,United States,Bradenton
109,Crain Automotive Team,(501) 542-5000, crainteam.com,5980 Wadley Road,United States,Sherwood
110,Colonial Automotive Group,(781) 431-9790, buycolonial.com,171 Great Road,United States,Acton
111,AutoFair Automotive Group,603-634-1000, autofair.com,1477 South Willow St.,United States,Manchester
112,Marubeni Motor Service Dealer Group,(781) 278-1407, gallerygroup.com,918 Providence Hwy.. Rte. 1,United States,Norwood
113,Ray Catena Motor Car Corp.,(732) 549-6600, raycatena.com,910 Route One,United States,Edison
114,#1 Cochran Automotive,(877) 262-4726, cochran.com,4520 William Penn Hwy.,United States,Monroeville
115,Southwest Dealer Group,(972) 283-9797, southwestdealergroup.com,39650 LBJ Fwy. S.,United States,Dallas
116,Stewart Management Group Inc.,(313) 432-6200,,20844 Harper Ave.. Ste. 100,United States,Harper Woods
117,Martin Management Group,(270) 783-8080, martingp.com,1065 Ashley St.. Ste. 100,United States,Bowling Green
118,Noarus Auto Group,(310) 258-0920, noarus.com,9670 Trask Ave.,United States,Garden Grove
119,Metro Motor Group,(561) 278-7800, metromotorgroup.com,2001 S. Federal Hwy.,United States,Delray Beach 
120,Chapman Auto Group,(267) 960-1700, chapmanautogroup.com,1170 Easton Road,United States,Horsham
121,Kelly Automotive Group,(610) 967-1823, kellycar.com,544 State Road,United States,Emmaus
122,Richardson & Partners,505-292-0000, rich-ford.com,8601 Lomas Blvd. N.E.,United States,Albuquerque
123,Voss Auto Network,(937) 428-2400, vossauto.com,766 Miamisburg-Centerville Road,United States,Centerville
124,Elder Automotive Groupÿ,(248) 597-5130, elderautomotivegroup.com,777 John R Road,United States,Troy
125,Dave Smith Auto Group,(208) 784-1208, usautosales.com,210 N. Division,United States,Kellogg
